"Date","Price","Open","High","Low","Vol.","Change %"
"21/04/2022","15.3925","15.0444","15.4282","15.0220","","2.50%"
"20/04/2022","15.0166","14.9658","15.1032","14.9273","","0.46%"
"19/04/2022","14.9481","14.6571","15.0065","14.6493","","2.09%"
"18/04/2022","14.6417","14.6151","14.7311","14.5938","","0.23%"
"15/04/2022","14.6076","14.6620","14.6857","14.5881","","-0.33%"
"14/04/2022","14.6562","14.5567","14.7510","14.5081","","0.69%"
"13/04/2022","14.5554","14.5188","14.5950","14.4429","","0.35%"
"12/04/2022","14.5042","14.5779","14.6078","14.4540","","-0.51%"
"11/04/2022","14.5783","14.6246","14.6945","14.5528","","-0.62%"
"08/04/2022","14.6694","14.7580","14.7771","14.6194","","-0.49%"
"07/04/2022","14.7415","14.6631","14.8155","14.6491","","0.54%"
"06/04/2022","14.6629","14.6644","14.7727","14.6017","","-0.04%"
"05/04/2022","14.6694","14.5929","14.7017","14.5110","","0.62%"
"04/04/2022","14.5796","14.6521","14.6692","14.5613","","-0.53%"
"01/04/2022","14.6575","14.6192","14.7079","14.5311","","0.37%"
"31/03/2022","14.6038","14.4752","14.6480","14.4012","","1.01%"
"30/03/2022","14.4583","14.5463","14.5491","14.4289","","-0.49%"
"29/03/2022","14.5292","14.7373","14.7373","14.4967","","-1.36%"
"28/03/2022","14.7298","14.5558","14.7408","14.5014","","1.19%"
"25/03/2022","14.5563","14.5239","14.6228","14.4800","","0.33%"
"24/03/2022","14.5081","14.7600","14.7973","14.5111","","-1.66%"
"23/03/2022","14.7534","14.8242","14.8535","14.7346","","-0.62%"
"22/03/2022","14.8460","14.9317","15.0023","14.7808","","-0.38%"
"21/03/2022","14.9029","14.9523","15.0119","14.8723","","-0.44%"
"18/03/2022","14.9689","14.9071","15.0337","14.8959","","0.34%"
"17/03/2022","14.9186","14.9181","14.9866","14.8518","","0.06%"
"16/03/2022","14.9099","15.1100","15.1425","14.9066","","-1.29%"
"15/03/2022","15.1042","15.1217","15.1856","15.0549","","-0.13%"
"14/03/2022","15.1238","15.0707","15.1443","15.0145","","0.40%"
"11/03/2022","15.0632","15.0563","15.1247","14.9687","","0.20%"
"10/03/2022","15.0327","15.0071","15.1689","14.9970","","0.21%"
"09/03/2022","15.0015","15.2794","15.3095","14.9768","","-1.95%"
"08/03/2022","15.3001","15.3396","15.4075","15.2064","","-0.23%"
"07/03/2022","15.3354","15.3966","15.4721","15.2493","","-0.35%"
"04/03/2022","15.3891","15.2083","15.4995","15.1896","","1.26%"
"03/03/2022","15.1975","15.3212","15.3954","15.1552","","-0.72%"
"02/03/2022","15.3071","15.4232","15.5666","15.2869","","-0.75%"
"01/03/2022","15.4224","15.3892","15.5000","15.2513","","0.40%"
"28/02/2022","15.3614","15.1456","15.5030","15.1456","","1.48%"
